#,Title,Platform,Type,Year,Rating,Genres,Fresh_Indian
36,Rudra,JioHotstar,series,2022,6.7,"Drama, Crime",
37,Save the Tigers,JioHotstar,series,2023,7.0,"Comedy, Drama",YES
38,Shaitaan,JioHotstar,movie,1974,5.2,"Horror, Thriller",
39,Showtime,JioHotstar,series,2024,5.9,Drama,
40,Silence 2,JioHotstar,movie,2011,0.0,Music,
41,Special Ops,JioHotstar,series,2020,8.6,"Mystery, Drama, Crime",
42,Succession,JioHotstar,series,2018,8.8,"Drama, Comedy",
43,Teri Baaton Mein Aisa Uljha Jiya,JioHotstar,movie,2024,6.2,"Romance, Comedy, Science Fiction",
44,The Last Dance of Indian Cricket,JioHotstar,documentary,,8.9,,
45,The Mandalorian,JioHotstar,series,2019,8.6,"Sci-Fi & Fantasy, Action & Adventure, Drama",
46,The Night Manager,JioHotstar,series,2016,8.0,"Drama, Mystery, Crime",
47,The Railway Men,JioHotstar,series,2023,8.5,Drama,
48,Yodha,JioHotstar,movie,2009,0.0,"Action, Drama",
49,A House of Dynamite,Netflix,movie,2025,6.4,"Thriller, War",
50,All's Fair,Netflix,series,2025,3.0,"Drama, Comedy",
51,Amaran,Netflix,movie,2024,7.4,"Action, Drama, Adventure",YES
52,Animal,Netflix,movie,2023,6.1,"Action, Crime, Drama",
53,Aranyak,Netflix,series,2021,7.7,"Crime, Drama, Mystery",
54,Beckham Beyond the Field,Netflix,documentary,,8.4,,
55,Black Phone 2,Netflix,movie,2025,7.1,"Horror, Thriller",
56,Boots,Netflix,series,2025,7.9,"Comedy, Drama, War & Politics",
57,Bugonia,Netflix,movie,2025,7.8,"Science Fiction, Crime",
58,Bulbbul,Netflix,movie,2020,6.6,"Horror, Fantasy, Thriller",
59,Bāhubali 2: The Conclusion,Netflix,movie,2017,7.5,"Action, Adventure, Fantasy",
60,Bāhubali: The Beginning,Netflix,movie,2015,7.5,"Action, Drama",
61,Chopsticks,Netflix,movie,2025,0.0,"Comedy, Thriller",
62,Class of '83,Netflix,movie,2020,5.8,"Action, Crime, Drama",
63,Decoupled,Netflix,series,2021,7.9,"Drama, Comedy",
64,Delhi Crime,Netflix,series,2019,8.5,Crime,
65,Do Patti,Netflix,movie,2024,6.9,"Thriller, Mystery, Drama",YES
66,Dolly Kitty Aur Woh Chamakte Sitare,Netflix,movie,2020,5.2,"Comedy, Drama",
67,Drive to Survive Season 6,Netflix,documentary,2019,5.0,"Action, War",
68,Extraction,Netflix,movie,2020,6.8,"Action, Thriller",
69,Fighter,Netflix,movie,2024,6.2,"Action, Drama",
70,Fighter,Netflix,movie,2024,6.2,"Action, Drama",
71,Frankenstein,Netflix,movie,2025,7.9,"Horror, Science Fiction, Fantasy",
72,Ghoul,Netflix,series,2018,7.0,"Mystery, Sci-Fi & Fantasy, Drama",
73,Guilty,Netflix,movie,2020,5.4,"Thriller, Drama",
74,Heeramandi,Netflix,series,2024,5.7,"Drama, War & Politics",YES
75,House Arrest,Netflix,movie,1996,5.8,"Comedy, Family",
76,IC 814: The Kandahar Hijack,Netflix,series,2024,6.1,"Drama, War & Politics",YES
77,IT: Welcome to Derry,Netflix,series,2025,7.9,"Mystery, Drama",
78,Indian Predator Season 3,Netflix,documentary,2022,8.1,"Drama, Western",
79,Jamtara,Netflix,series,2020,7.3,"Drama, Crime",
80,KPop Demon Hunters Lyric Videos,Netflix,series,2025,9.3,Animation,
81,Kota Factory,Netflix,series,2019,9.0,"Comedy, Drama",
82,Lokah Chapter 1: Chandra,Netflix,movie,2025,7.3,"Action, Adventure, Fantasy",
83,Lucky Baskhar,Netflix,movie,2024,7.6,"Drama, Thriller, Crime",YES
84,Maharaja,Netflix,movie,2024,8.4,"Action, Thriller, Mystery",
85,Mismatched,Netflix,series,2020,6.0,"Comedy, Drama",
86,Money Heist,Netflix,series,2017,8.2,"Crime, Drama",
87,Mrs Serial Killer,Netflix,movie,2020,4.0,Thriller,
88,One-Punch Man,Netflix,series,2015,8.4,"Animation, Comedy, Action & Adventure",
89,Our Universe,Netflix,documentary,2022,6.3,"Drama, Romance",
90,Paatal Lok,Netflix,series,2020,8.1,"Crime, Drama",
91,Pihu,Netflix,movie,2018,6.7,"Thriller, Drama",
92,Pluribus,Netflix,series,2025,7.5,"Drama, Sci-Fi & Fantasy",
93,Predator: Badlands,Netflix,movie,2025,6.4,"Action, Science Fiction, Adventure",
94,Raat Akeli Hai,Netflix,movie,2020,7.2,"Crime, Mystery, Thriller",
95,Robin Hood,Netflix,series,2025,8.2,"Drama, Action & Adventure",
96,Sacred Games,Netflix,series,2018,8.5,"Drama, Crime, Action & Adventure",
97,Salaar,Netflix,movie,2023,6.6,"Action, Crime, Drama",
98,Sector 36,Netflix,movie,2024,7.1,"Crime, Thriller, Drama",YES
99,Selection Day,Netflix,series,2018,7.3,Drama,
100,She,Netflix,series,2020,6.4,"Crime, Drama",
101,Sikandar Ka Muqaddar,Netflix,movie,2024,5.7,"Thriller, Crime, Mystery",YES
102,Squid Game Season 2,Netflix,series,2024,8.0,"Action & Adventure, Mystery, Drama",
103,Stranger Things,Netflix,series,2016,8.6,"Drama, Sci-Fi & Fantasy, Mystery",
104,Stranger Things Season 4,Netflix,series,2022,8.6,"Drama, Sci-Fi & Fantasy, Mystery",
105,The Fantastic 4: First Steps,Netflix,movie,2025,7.1,"Science Fiction, Adventure, Action",
106,The Great Indian Kapil Show,Netflix,series,2024,6.4,"Talk, Comedy",
107,The Rats: A Witcher Tale,Netflix,movie,2025,4.9,"Fantasy, Drama, Adventure",
108,The Smashing Machine,Netflix,movie,2025,6.4,"History, Drama",
109,The Witcher,Netflix,series,2019,8.0,"Sci-Fi & Fantasy, Drama, Action & Adventure",
110,Typewriter,Netflix,series,2019,6.5,"Drama, Mystery",
111,Yeh Kaali Kaali Ankhein,Netflix,series,2022,7.0,"Crime, Drama, Mystery",
112,Yeh Kaali Kaali Ankhein,Netflix,series,2022,6.6,"Crime, Drama, Mystery",YES
113,xXx,Netflix,movie,2002,6.0,"Action, Adventure, Thriller",
114,Afsos,Prime Video,series,2020,7.5,"Drama, Comedy",
115,Bandish Bandits,Prime Video,series,2020,8.6,"Family, Drama",
116,Breathe,Prime Video,series,2018,8.2,"Crime, Drama",
117,Chacha Vidhayak Hain Humare,Prime Video,series,2018,7.5,Comedy,
118,Comicstaan,Prime Video,series,2018,6.9,"Comedy, Reality",
119,Four More Shots Please,Prime Video,series,2019,5.6,"Drama, Comedy",
120,Guilty Minds,Prime Video,series,2022,7.3,"Drama, Mystery",
121,Hostel Daze,Prime Video,series,2019,8.5,"Drama, Comedy",
122,Inside Edge,Prime Video,series,2017,7.9,Drama,
123,Invincible,Prime Video,series,2021,8.7,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",
124,Kantara - A Legend: Chapter 1,Prime Video,movie,2025,7.8,"Action, Drama, Fantasy",
125,Laakhon Mein Ek,Prime Video,series,2017,8.2,Drama,
126,Made in Heaven Season 2,Prime Video,series,2023,8.2,Drama,
127,Mind the Malhotras,Prime Video,series,2019,5.9,Comedy,
128,Mirzapur,Prime Video,series,2018,8.1,"Crime, Action & Adventure, Drama",YES
129,Mirzapur Season 3,Prime Video,series,2024,8.4,"Crime, Action & Adventure, Drama",
130,Mumbai Diaries 26/11,Prime Video,series,2021,8.5,"Drama, Mystery",
131,Panchayat Season 3,Prime Video,series,2024,9.0,"Comedy, Drama",
132,Pushpavalli,Prime Video,series,2017,7.4,"Comedy, Drama",
133,Reacher,Prime Video,series,2022,8.0,"Action & Adventure, Drama, Crime",
134,Sardar Udham,Prime Video,movie,2021,8.3,"Crime, Drama, History",
135,Shershaah,Prime Video,movie,2021,8.3,"Action, Drama, Thriller, War",
136,Tandav,Prime Video,series,2023,8.1,"Drama, Mystery",
137,The Boys,Prime Video,series,2019,8.6,"Sci-Fi & Fantasy, Action & Adventure",
138,The Dark Knight,Prime Video,movie,2008,8.5,"Drama, Action, Crime",
139,The Family Man Season 3,Prime Video,series,2025,8.7,"Drama, Action & Adventure",
140,The Forgotten Army,Prime Video,series,2020,7.9,"Drama, Action & Adventure",
141,Tripling,Prime Video,series,2016,8.5,"Comedy, Drama",
142,The Hunt for Veerappan,Sony Liv,series,2023,7.9,"Documentary, Crime",
143,Avrodh,SonyLIV,series,2020,7.7,"Drama, War & Politics",
144,College Romance,SonyLIV,series,2018,8.3,"Comedy, Drama",
145,Freedom at Midnight,SonyLIV,series,2024,8.4,Drama,
146,Gullak,SonyLIV,series,2019,9.1,"Comedy, Drama, Family",
147,JL50,SonyLIV,series,2020,7.3,"Drama, Sci-Fi & Fantasy",
148,Kathmandu Connection,SonyLIV,series,2021,5.8,"Drama, Crime",
149,Maharani,SonyLIV,series,2021,7.9,Drama,
150,Planet Earth III,SonyLIV,documentary,2023,5.9,Western,
151,Rocket Boys,SonyLIV,series,2022,8.8,Drama,
152,Scam 1992,SonyLIV,series,2020,9.2,"Crime, Drama",
153,Scam 2003,SonyLIV,series,2023,7.9,"Drama, Crime",
154,Tabbar,SonyLIV,series,2021,8.2,"Crime, Drama",
155,Tanaav,SonyLIV,series,2022,7.8,"Crime, Drama",
156,Trial by Fire,SonyLIV,series,2023,7.7,"Drama, Crime",
157,UEFA Champions League,SonyLIV,sports_event,2025,9.4,Documentary,
158,Undekhi,SonyLIV,series,2020,8.0,"Crime, Drama",
159,Your Honor,SonyLIV,series,2020,7.6,"Drama, Crime",
